id,text,clean_text,will_labels,ty_labels,will_binary_label,ty_binary_label
2009,"Fortunately, there is a bill moving quickly in Albany that is a good first step in establishing New York as a leader on local and sustainable food purchasing in just this way. Specifically, Senate Bill 4061 and Assembly Bill 5102 would require state agencies to include information on New York agricultural products in their bids and begin to report the amount of food they’re purchasing from New York.","Fortunately, there is a bill moving quickly in Albany that is a good first step in establishing New York as a leader on local and sustainable food purchasing in just this way. Specifically, Senate Bill 4061 and Assembly Bill 5102 would require state agencies to include information on New York agricultural products in their bids and begin to report the amount of food they’re purchasing from New York.",['0'],['0'],0,0
519,"But the Sea Surface Temperature anomalies of the East Pacific Ocean (90S-90N, 180-80W) have not risen in 30 years. Refer to Figure 18.","But the Sea Surface Temperature anomalies of the East Pacific Ocean (90S-90N, 180-80W) have not risen in 30 years. Refer to Figure 18.","['1.5', '1.6']",['1.5'],2,2
223,"When you get to this link, click on the graph again to make it even bigger: http://www.vukcevic.co.uk/GrandMinima.gif","When you get to this link, click on the graph again to make it even bigger: http://www.vukcevic.co.uk/GrandMinima.gif",['0'],['0'],0,0
1180,"41 Javier Solana, ""Mars and Venus Reconciled: A New Era for Transatlantic Relations,"" Kennedy School of Government, Harvard University (April 7, 2003).","41 Javier Solana, ""Mars and Venus Reconciled: A New Era for Transatlantic Relations,"" Kennedy School of Government, Harvard University (April 7, 2003).",['0'],['0'],0,0
1703,"Right off the bat, the Framework starts with a whimper. The 2050 Goals, which should reflect what “Living in Harmony with Nature” will look like in about 30 years, instead reflect essentially what things look like now—total status quo. They would only “maintain or enhance” the area of naturally functioning ecosystems around the planet overall, and, incredibly, would halt the extinction of species not immediately, or in a few years, but by 2050, almost thirty years from now.","Right off the bat, the Framework starts with a whimper. The 2050 Goals, which should reflect what “Living in Harmony with Nature” will look like in about 30 years, instead reflect essentially what things look like now—total status quo. They would only “maintain or enhance” the area of naturally functioning ecosystems around the planet overall, and, incredibly, would halt the extinction of species not immediately, or in a few years, but by 2050, almost thirty years from now.",['0'],['0'],0,0
1386,"The SPPI takes a different approach to this issue, looking at The Positive Externalities of CO2. Excerpt:","The SPPI takes a different approach to this issue, looking at The Positive Externalities of CO2. Excerpt:",['3.3'],['0'],2,0
24,h/t The Register ??? the UK MET Office has published a report which suggests the pause in global temperatures might continue for many years to come. Or the pause might not continue. They??re not really sure.,h/t The Register the UK MET Office has published a report which suggests the pause in global temperatures might continue for many years to come. Or the pause might not continue. They're not really sure.,"['1.4', '5.1.3', '5.1.4']",['5.1.1'],2,2
1846,Rare earths are not needed for the semiconductors that are solar panels.,Rare earths are not needed for the semiconductors that are solar panels.,['0'],['0'],0,0
1980,"29 Aug 2012 The arctic is melting, the 3rd runway remains on the agenda and the .... In the meantime, Australia will probably globally offset those German ...","29 Aug 2012 The arctic is melting, the 3rd runway remains on the agenda and the .... In the meantime, Australia will probably globally offset those German ...",['0'],['0'],0,0
1259,"An article published today in Nature notes multiple and substantial uncertainties and deficiencies of climate models which are"" crucial for predicting global warming,"" due primarily to the low-resolution of today's models which is insufficient to skillfully simulate essential climate aspects such as","An article published today in Nature notes multiple and substantial uncertainties and deficiencies of climate models which are"" crucial for predicting global warming,"" due primarily to the low-resolution of today's models which is insufficient to skillfully simulate essential climate aspects such as",['5.1.4'],['5.1.4'],2,2
1664,Fifty-two members of the global warming expedition which has been ice-bound off Antarctica since Christmas Eve have been airlifted to safety by a Chinese helicopter.,Fifty-two members of the global warming expedition which has been ice-bound off Antarctica since Christmas Eve have been airlifted to safety by a Chinese helicopter.,['0'],['0'],0,0
396,"I lived out West for a decade, back in the 1970s, and saw wildfires and dozens of burned-over forests. I hiked, camped, and skied during extra wet and ultra dry years. During a flight from Denver to Seattle, I watched multiple fires rage across tens of thousands of acres in four states.","I lived out West for a decade, back in the 1970s, and saw wildfires and dozens of burned-over forests. I hiked, camped, and skied during extra wet and ultra dry years. During a flight from Denver to Seattle, I watched multiple fires rage across tens of thousands of acres in four states.",['0'],['0'],0,0
444,Here's a summary from the report of the relevant GATT and WTO rules:,Here's a summary from the report of the relevant GATT and WTO rules:,['0'],['0'],0,0
354,The self-sacrificing behavior that benefits the group is the ultimate situation in which the classical evolution and group selection offer different predictions. Pinker analyzes some suicidal strategies whose carriers would be quite obviously driven towards extinction; time scales are important in some of them (individuals following these suicidal strategies may die out well before the group could see substantial benefits so the theory with a dominant group selection driver simply doesn't work).,The self-sacrificing behavior that benefits the group is the ultimate situation in which the classical evolution and group selection offer different predictions. Pinker analyzes some suicidal strategies whose carriers would be quite obviously driven towards extinction; time scales are important in some of them (individuals following these suicidal strategies may die out well before the group could see substantial benefits so the theory with a dominant group selection driver simply doesn't work).,['0'],['0'],0,0
1922,"Our paper by Peters et al, 2004 entitled Cross-scale interactions, nonlinearities, and forecasting catastrophic events discussed the issue of nonlinear scale interactions. In terms of the climate system, a nonlinear perspective of this type is certainly needed, but has been lacking in assessments. The vulnerability framework that we have proposed (see and see ) is much more inclusive with communicating to policymakers the environmental and societal threats associated with the nonlinearity of the climate system.","Our paper by Peters et al, 2004 entitled Cross-scale interactions, nonlinearities, and forecasting catastrophic events discussed the issue of nonlinear scale interactions. In terms of the climate system, a nonlinear perspective of this type is certainly needed, but has been lacking in assessments. The vulnerability framework that we have proposed (see and see ) is much more inclusive with communicating to policymakers the environmental and societal threats associated with the nonlinearity of the climate system.",['0'],['5.1.4'],0,2
